Meal,Weather,Wait,Temperature,Decision
Lunch,Rain,None,48,Stay
Dinner,Cloudy,Short,91,Stay
Lunch,Sunny,None,41,Stay
Dinner,Cloudy,None,85,Stay
Lunch,Rain,Long,49,Stay
Dinner,Sunny,None,59,Stay
Lunch,Cloudy,Short,45,Left
Lunch,Rain,Short,58,Stay
Lunch,Rain,None,75,Stay
Lunch,Cloudy,None,57,Stay
Lunch,Cloudy,None,59,Stay
Lunch,Cloudy,Long,75,Left
Dinner,Sunny,None,56,Stay
Lunch,Sunny,Long,66,Left
Dinner,Sunny,Short,68,Left
Dinner,Sunny,Short,65,Left
Dinner,Rain,Short,64,Stay
Dinner,Sunny,None,65,Stay
Dinner,Cloudy,Long,89,Left
Lunch,Cloudy,None,83,Stay
Lunch,Rain,Long,78,Stay
Dinner,Sunny,Short,76,Left
Lunch,Rain,Short,40,Stay
Dinner,Rain,None,90,Stay
Dinner,Rain,Long,60,Left
Dinner,Sunny,None,46,Stay
Lunch,Rain,Short,64,Stay
Lunch,Sunny,Short,46,Left
Lunch,Sunny,Short,49,Left
Lunch,Sunny,None,60,Stay
Dinner,Sunny,None,71,Stay
Lunch,Rain,None,62,Stay
Dinner,Rain,Short,55,Stay
Lunch,Rain,Long,97,Left
Lunch,Cloudy,Short,56,Stay
Dinner,Rain,Long,58,Left
Dinner,Sunny,None,44,Stay
Lunch,Cloudy,Short,89,Stay
Lunch,Sunny,None,90,Stay
Lunch,Rain,Long,86,Left
Dinner,Cloudy,Long,83,Left
Dinner,Sunny,Short,68,Left
Dinner,Sunny,Short,79,Left
Lunch,Rain,Short,90,Stay
Lunch,Cloudy,Long,91,Stay
Lunch,Cloudy,Short,53,Left
Dinner,Rain,Short,88,Stay
Dinner,Cloudy,Short,65,Left
Lunch,Rain,Long,90,Left
Lunch,Sunny,None,89,Stay
Dinner,Cloudy,Short,69,Left
Lunch,Rain,Short,71,Stay
Dinner,Rain,Short,82,Stay
Lunch,Sunny,Short,47,Left
Dinner,Cloudy,Long,99,Stay
Lunch,Rain,Short,67,Stay
Lunch,Sunny,Short,66,Left
Lunch,Sunny,None,65,Stay
Dinner,Sunny,Long,63,Left
Dinner,Cloudy,Long,98,Stay
Lunch,Rain,Short,95,Stay
Dinner,Sunny,Short,52,Left
Lunch,Cloudy,Short,98,Stay
Dinner,Cloudy,None,77,Stay
Lunch,Cloudy,Long,96,Stay
Dinner,Cloudy,None,91,Stay
Lunch,Cloudy,Short,55,Left
Dinner,Cloudy,Long,80,Left
Lunch,Sunny,Long,73,Left
Dinner,Sunny,None,88,Stay
Lunch,Sunny,Long,82,Left
Dinner,Sunny,Long,79,Left
Dinner,Cloudy,None,51,Stay
Lunch,Sunny,None,63,Stay
Dinner,Sunny,Long,84,Left
Lunch,Sunny,Long,99,Stay
Dinner,Sunny,None,51,Stay
Dinner,Rain,Short,58,Stay
Dinner,Sunny,None,41,Stay
Lunch,Sunny,Long,46,Left
Lunch,Cloudy,Short,53,Left
Lunch,Cloudy,Long,65,Left
Dinner,Cloudy,Short,75,Left
Lunch,Cloudy,Short,82,Left
Dinner,Rain,Short,94,Stay
Lunch,Sunny,Short,83,Left
Lunch,Cloudy,None,66,Stay
Lunch,Cloudy,Short,57,Left
Lunch,Sunny,Long,64,Left
Lunch,Cloudy,Long,67,Left
Dinner,Sunny,None,63,Stay
Lunch,Sunny,Short,62,Left
Lunch,Rain,Short,48,Stay
Dinner,Cloudy,None,96,Stay
Lunch,Cloudy,Long,53,Left
Dinner,Sunny,Long,49,Left
Dinner,Rain,Short,73,Stay
Lunch,Sunny,Long,54,Left
Lunch,Rain,None,90,Stay
Dinner,Sunny,Short,80,Left
Lunch,Cloudy,Short,79,Left
Dinner,Cloudy,Short,98,Stay
Dinner,Sunny,Long,43,Left
Dinner,Rain,Short,91,Stay
Lunch,Sunny,Long,62,Left
Lunch,Cloudy,None,52,Stay
Lunch,Sunny,None,95,Stay
Lunch,Rain,Short,76,Stay
Lunch,Rain,Long,65,Left
Lunch,Rain,Short,83,Stay
Dinner,Cloudy,None,99,Stay
Dinner,Sunny,Long,69,Left
Dinner,Rain,None,47,Stay
Dinner,Rain,Long,68,Left
Lunch,Cloudy,None,45,Stay
Lunch,Sunny,Long,41,Left
Lunch,Rain,Short,61,Stay
Dinner,Sunny,None,65,Stay
Lunch,Sunny,Short,96,Stay
Dinner,Rain,Long,79,Left
Dinner,Cloudy,None,67,Stay
Lunch,Cloudy,Long,71,Left
Lunch,Cloudy,Long,60,Left
Dinner,Rain,Long,98,Left
Lunch,Rain,None,66,Stay
Dinner,Cloudy,Short,66,Left
Lunch,Sunny,Long,49,Left
Dinner,Sunny,Short,71,Left
Lunch,Cloudy,None,69,Stay
Lunch,Rain,Short,70,Stay
Dinner,Rain,None,88,Stay
Dinner,Rain,None,94,Stay
Dinner,Sunny,Short,99,Stay
Dinner,Sunny,Long,57,Left
Lunch,Sunny,Long,86,Left
Lunch,Cloudy,None,63,Stay
Dinner,Cloudy,None,92,Stay
Lunch,Sunny,Short,86,Stay
Dinner,Sunny,None,89,Stay
Dinner,Cloudy,Short,82,Left
Dinner,Sunny,None,84,Stay
Lunch,Cloudy,None,70,Stay
Dinner,Sunny,Long,89,Left
Lunch,Sunny,Short,98,Stay
Dinner,Cloudy,None,47,Stay
Lunch,Rain,None,72,Stay
Dinner,Cloudy,Short,72,Left
Dinner,Cloudy,Long,87,Left
Dinner,Rain,Short,58,Stay
Dinner,Sunny,Long,65,Left
Lunch,Rain,Long,59,Left
Lunch,Rain,Long,95,Left
Lunch,Rain,None,89,Stay
Dinner,Cloudy,Long,83,Stay
Lunch,Cloudy,None,78,Stay
Dinner,Cloudy,Long,41,Left
Lunch,Cloudy,Short,53,Left
Dinner,Rain,None,58,Stay
Dinner,Rain,None,65,Stay
Lunch,Cloudy,Long,46,Left
Dinner,Rain,None,51,Stay
Lunch,Cloudy,None,89,Stay
Lunch,Sunny,Long,46,Left
Lunch,Rain,Short,74,Stay
Dinner,Rain,None,79,Stay
Dinner,Sunny,Short,78,Left
Dinner,Cloudy,Short,84,Left
Dinner,Sunny,Long,40,Left
Dinner,Rain,Short,54,Stay
Dinner,Sunny,None,62,Stay
Lunch,Cloudy,Long,45,Left
Dinner,Sunny,Long,98,Stay
Dinner,Cloudy,Short,40,Left
Lunch,Rain,Short,65,Stay
Lunch,Rain,Short,86,Stay
Dinner,Rain,Long,63,Left
Lunch,Rain,None,51,Stay
Lunch,Cloudy,Short,62,Left
Dinner,Cloudy,None,94,Stay
Dinner,Cloudy,Short,95,Stay
Dinner,Sunny,None,82,Stay
Dinner,Rain,Long,68,Left
Lunch,Cloudy,Long,97,Stay
Dinner,Sunny,None,64,Stay
Dinner,Rain,None,85,Stay
Dinner,Cloudy,Short,74,Left
Dinner,Sunny,Long,64,Left
Lunch,Sunny,Short,85,Stay
Lunch,Rain,Long,50,Stay
Dinner,Cloudy,Long,44,Left
Lunch,Cloudy,None,81,Stay
Dinner,Rain,Short,84,Stay
Lunch,Cloudy,Short,42,Left
Lunch,Sunny,Long,72,Left
Dinner,Cloudy,None,95,Stay
Lunch,Cloudy,Short,66,Left
Lunch,Cloudy,Short,56,Left
Lunch,Sunny,None,70,Stay
Dinner,Cloudy,Long,95,Stay
Lunch,Rain,Short,49,Stay
Dinner,Sunny,None,66,Stay
Dinner,Sunny,Long,46,Left
Dinner,Cloudy,Long,97,Stay
Lunch,Sunny,Short,57,Left
Lunch,Cloudy,None,80,Stay
Lunch,Cloudy,Short,46,Left
Dinner,Sunny,Long,44,Left
Lunch,Cloudy,Long,79,Left
Lunch,Cloudy,Short,63,Left
Dinner,Rain,Long,47,Stay
Lunch,Rain,Short,42,Stay
Lunch,Rain,Long,56,Left
Dinner,Sunny,Short,47,Left
Dinner,Cloudy,None,47,Stay
Dinner,Rain,Short,62,Stay
Dinner,Sunny,Short,49,Left
Lunch,Cloudy,Long,44,Left
Dinner,Rain,None,45,Stay
Lunch,Cloudy,Short,89,Stay
Dinner,Sunny,Long,62,Left
Lunch,Sunny,None,53,Stay
Lunch,Cloudy,None,52,Stay
Dinner,Cloudy,Short,45,Left
Lunch,Sunny,Short,44,Left
Lunch,Sunny,None,40,Stay
Dinner,Sunny,Short,43,Stay
Dinner,Rain,None,44,Stay
Dinner,Cloudy,None,77,Stay
Lunch,Rain,Long,58,Left
Dinner,Rain,Short,62,Stay
Lunch,Rain,None,68,Stay
Lunch,Cloudy,Short,56,Left
Lunch,Sunny,None,75,Stay
Dinner,Rain,Long,79,Left
Lunch,Cloudy,Long,99,Stay
Dinner,Rain,Short,81,Stay
Lunch,Rain,Long,93,Left
Lunch,Cloudy,Long,44,Left
Lunch,Rain,None,97,Stay
Lunch,Rain,None,42,Stay
Dinner,Cloudy,Short,77,Left
Dinner,Rain,Long,76,Left
Lunch,Rain,Long,63,Left
Dinner,Cloudy,None,72,Stay
Lunch,Rain,Short,90,Stay
Dinner,Rain,None,83,Stay
Dinner,Cloudy,Long,98,Stay
Dinner,Cloudy,Long,79,Left
Dinner,Cloudy,Long,88,Left
Dinner,Cloudy,Short,90,Stay
Dinner,Sunny,Long,49,Left
Lunch,Rain,None,53,Stay
Dinner,Rain,None,99,Stay
Dinner,Rain,Long,87,Left
Dinner,Cloudy,Long,44,Stay
Dinner,Sunny,Short,49,Left
Lunch,Sunny,Short,67,Left
Lunch,Sunny,Short,80,Left
Dinner,Rain,Short,72,Stay
Lunch,Sunny,Long,87,Left
Lunch,Sunny,Long,77,Left
Lunch,Cloudy,Long,98,Stay
Lunch,Sunny,Long,96,Stay
Lunch,Sunny,Long,66,Left
Dinner,Cloudy,Short,77,Left
Lunch,Sunny,Long,93,Left
Lunch,Rain,Short,56,Stay
Dinner,Sunny,Long,81,Left
Lunch,Sunny,None,78,Stay
Lunch,Rain,Short,47,Stay
Lunch,Sunny,None,47,Stay
Dinner,Rain,Short,54,Stay
Lunch,Cloudy,Long,57,Left
Dinner,Rain,Short,49,Left
Lunch,Rain,None,82,Stay
Dinner,Rain,Short,88,Stay
Lunch,Rain,Short,58,Stay
Lunch,Sunny,None,51,Stay
Dinner,Sunny,None,40,Stay
Dinner,Sunny,Short,73,Left
Lunch,Sunny,None,72,Stay
Dinner,Rain,Short,69,Stay
Dinner,Cloudy,Short,77,Left
Dinner,Sunny,Long,84,Left
Lunch,Sunny,None,61,Stay
Lunch,Sunny,Short,93,Stay
Dinner,Rain,Short,64,Stay
Dinner,Cloudy,Short,48,Left
Lunch,Cloudy,Long,77,Left
Dinner,Rain,Short,55,Stay
Dinner,Rain,Short,85,Stay
Lunch,Rain,None,48,Stay
Lunch,Rain,None,62,Stay
Dinner,Cloudy,Long,55,Left
Dinner,Cloudy,Long,83,Left
Lunch,Rain,Long,50,Stay
Dinner,Rain,Long,75,Left
Dinner,Rain,Short,93,Stay
Dinner,Cloudy,None,44,Stay
Lunch,Sunny,None,91,Stay
Dinner,Sunny,None,81,Stay
Dinner,Sunny,None,88,Stay
Lunch,Sunny,Short,70,Left
Lunch,Cloudy,None,69,Stay
Lunch,Rain,Short,43,Stay
Lunch,Cloudy,Long,69,Left
Dinner,Rain,Long,89,Left
Lunch,Rain,Long,57,Left
Dinner,Rain,Short,79,Stay
Dinner,Sunny,Long,94,Left
Dinner,Sunny,Long,84,Left
Dinner,Cloudy,Short,97,Stay
Dinner,Sunny,Long,69,Left
Lunch,Rain,Short,76,Stay
Dinner,Sunny,None,62,Stay
Dinner,Sunny,Long,54,Stay
Lunch,Rain,Long,52,Left
Dinner,Sunny,None,59,Stay
Dinner,Cloudy,Short,94,Stay
Lunch,Rain,Short,88,Stay
Lunch,Cloudy,Long,84,Left
Lunch,Sunny,None,54,Stay
Dinner,Cloudy,None,74,Stay
Dinner,Cloudy,None,40,Stay
Dinner,Rain,None,46,Stay
Dinner,Sunny,Long,62,Left
Lunch,Cloudy,None,84,Stay
Dinner,Cloudy,None,92,Stay
Lunch,Cloudy,Short,42,Left
Lunch,Cloudy,Long,65,Left
Dinner,Rain,Long,71,Left
Dinner,Cloudy,None,54,Stay
Dinner,Sunny,Short,72,Left
Dinner,Rain,None,72,Stay
Dinner,Sunny,Long,79,Left
Dinner,Rain,Long,69,Left
Lunch,Sunny,None,95,Stay
Lunch,Sunny,None,46,Stay
Dinner,Rain,Short,77,Stay
Dinner,Cloudy,Short,57,Left
Lunch,Cloudy,None,51,Stay
Lunch,Rain,Long,71,Left
Dinner,Sunny,Short,57,Left
Lunch,Sunny,None,89,Stay
Lunch,Sunny,None,95,Stay
Lunch,Rain,Short,62,Stay
Dinner,Rain,Short,89,Stay
Dinner,Sunny,Long,91,Left
Lunch,Cloudy,Long,79,Left
Lunch,Sunny,Long,77,Left
Dinner,Rain,Short,76,Stay
Lunch,Cloudy,Short,52,Left
Lunch,Rain,None,85,Stay
Dinner,Sunny,Short,81,Left
Lunch,Sunny,Long,76,Left
Lunch,Cloudy,Long,85,Left
Dinner,Sunny,None,96,Stay
Dinner,Cloudy,Short,53,Left
Lunch,Cloudy,Long,88,Left
Lunch,Rain,None,83,Stay
Dinner,Cloudy,Short,92,Stay
Lunch,Sunny,Long,70,Left
Dinner,Sunny,Long,69,Left
Dinner,Rain,Long,83,Left
Dinner,Rain,Short,95,Stay
Lunch,Sunny,None,44,Stay
Lunch,Cloudy,Long,77,Left
Lunch,Rain,Long,53,Left
Lunch,Rain,Short,78,Stay
Dinner,Cloudy,Long,53,Left
Lunch,Rain,Short,99,Stay
Lunch,Rain,Long,51,Left
Dinner,Rain,Long,64,Left
Dinner,Rain,Short,59,Stay
Lunch,Rain,None,70,Left
Lunch,Rain,Short,45,Stay
Lunch,Rain,None,44,Stay
Dinner,Cloudy,Long,51,Left
Lunch,Sunny,Short,64,Left
Lunch,Rain,None,84,Stay
Dinner,Sunny,Long,76,Left
Lunch,Sunny,None,61,Stay
Lunch,Sunny,None,95,Stay
Lunch,Sunny,None,85,Stay
Dinner,Rain,Long,61,Left
Dinner,Rain,None,81,Stay
Dinner,Rain,None,66,Stay
Dinner,Sunny,Short,40,Left
Lunch,Sunny,Short,41,Left
Dinner,Rain,None,45,Stay
Lunch,Sunny,Short,49,Left
Lunch,Sunny,None,59,Stay
Lunch,Rain,Long,40,Stay
Dinner,Sunny,Long,60,Left
Lunch,Cloudy,Long,69,Left
Dinner,Sunny,Long,89,Left
Lunch,Cloudy,Long,96,Stay
Lunch,Cloudy,None,91,Stay
Lunch,Cloudy,Short,82,Left
Lunch,Rain,None,75,Stay
Dinner,Sunny,Long,63,Left
Lunch,Cloudy,None,89,Stay
Lunch,Rain,Long,52,Left
Dinner,Cloudy,Long,45,Left
Dinner,Cloudy,Short,44,Left
Lunch,Cloudy,None,63,Stay
Lunch,Cloudy,None,84,Stay
Lunch,Cloudy,Short,75,Left
Dinner,Sunny,None,91,Stay
Lunch,Rain,Short,79,Stay
Dinner,Rain,Long,58,Left
Lunch,Rain,None,69,Stay
Dinner,Rain,Long,82,Left
Lunch,Rain,Long,65,Left
Lunch,Rain,Long,47,Stay
Dinner,Cloudy,None,87,Stay
Lunch,Cloudy,None,73,Stay
Lunch,Sunny,Long,40,Left
Lunch,Rain,None,91,Stay
Dinner,Cloudy,Long,67,Left
Lunch,Cloudy,None,78,Stay
Dinner,Rain,Short,69,Stay
Dinner,Sunny,Short,71,Stay
Lunch,Sunny,None,54,Stay
Lunch,Cloudy,None,90,Stay
Dinner,Cloudy,Short,71,Left
Lunch,Cloudy,Long,47,Left
Dinner,Rain,None,65,Stay
Lunch,Sunny,Long,93,Left
Lunch,Cloudy,Long,56,Left
Lunch,Rain,Short,49,Stay
Dinner,Cloudy,Short,69,Left
Lunch,Cloudy,None,71,Stay
Lunch,Rain,Long,71,Left
Dinner,Rain,None,99,Stay
Dinner,Cloudy,None,81,Stay
Lunch,Cloudy,Long,60,Left
Lunch,Sunny,Long,94,Left
Dinner,Sunny,Short,93,Stay
Lunch,Cloudy,Short,66,Left
Dinner,Rain,Long,55,Left
Lunch,Cloudy,None,75,Stay
Dinner,Sunny,None,47,Stay
Dinner,Sunny,Long,82,Left
Dinner,Rain,Short,79,Stay
Dinner,Rain,Long,58,Left
Dinner,Cloudy,Long,43,Left
Lunch,Rain,Short,70,Stay
Lunch,Sunny,None,65,Stay
Lunch,Cloudy,Short,63,Left
Lunch,Rain,None,95,Stay
Dinner,Rain,Short,89,Stay
Dinner,Sunny,Short,64,Left
Dinner,Sunny,None,46,Stay
Lunch,Sunny,None,93,Stay
Dinner,Cloudy,Long,83,Left
Dinner,Sunny,Short,44,Left
Dinner,Cloudy,None,98,Stay
Lunch,Sunny,None,44,Stay
Dinner,Rain,Long,72,Left
Lunch,Rain,Long,85,Left
Lunch,Cloudy,Long,50,Left
Dinner,Rain,Short,76,Stay
Lunch,Cloudy,Long,76,Left
Dinner,Sunny,Short,47,Left
Lunch,Sunny,None,59,Stay
Lunch,Sunny,Long,65,Left
Lunch,Sunny,None,96,Stay
Dinner,Sunny,None,56,Stay
Lunch,Cloudy,Short,76,Left
Dinner,Cloudy,None,86,Stay
Dinner,Cloudy,Long,94,Left
Lunch,Rain,Long,81,Left
Dinner,Sunny,None,51,Stay
Dinner,Sunny,Long,87,Left
Dinner,Rain,None,72,Stay
Dinner,Rain,Short,59,Stay
Lunch,Cloudy,Long,80,Left
Dinner,Cloudy,None,61,Stay
Dinner,Sunny,Long,87,Left
Dinner,Rain,None,98,Stay
Dinner,Cloudy,Short,72,Left
Dinner,Rain,None,54,Stay
Lunch,Cloudy,Long,91,Left
Lunch,Cloudy,None,47,Stay
Dinner,Sunny,Short,62,Left
Dinner,Rain,None,46,Left
Lunch,Cloudy,Short,55,Left
Lunch,Cloudy,Short,72,Left
Lunch,Cloudy,None,89,Stay
Dinner,Rain,None,41,Stay
Dinner,Rain,None,45,Stay
Lunch,Rain,None,64,Stay
Dinner,Sunny,Long,48,Left
Dinner,Rain,None,97,Stay
Dinner,Sunny,None,73,Stay
Lunch,Rain,Long,63,Left
Dinner,Rain,Long,96,Left
Dinner,Sunny,None,59,Stay
Dinner,Sunny,None,63,Stay
Lunch,Cloudy,None,54,Stay
Lunch,Sunny,Long,91,Left
Dinner,Rain,None,49,Stay
Lunch,Rain,Short,94,Stay
Dinner,Rain,Short,49,Stay
Lunch,Rain,Short,47,Stay
Dinner,Rain,None,62,Stay
Dinner,Rain,Long,93,Left
Lunch,Rain,None,91,Stay
Dinner,Rain,Long,89,Left
Lunch,Rain,Long,74,Stay
Lunch,Rain,Short,50,Stay
Lunch,Cloudy,Long,77,Left
Dinner,Sunny,Long,70,Left
Lunch,Rain,Long,88,Left
Lunch,Rain,Short,99,Stay
Lunch,Sunny,None,40,Stay
Dinner,Cloudy,Short,94,Stay
Lunch,Cloudy,None,86,Stay
Lunch,Sunny,None,69,Stay
Lunch,Sunny,None,51,Stay
Lunch,Rain,Long,93,Left
Dinner,Sunny,Short,93,Stay
Dinner,Rain,None,44,Stay
Dinner,Cloudy,Long,66,Left
Lunch,Rain,None,62,Stay
Dinner,Rain,Short,83,Stay
Lunch,Rain,Short,64,Stay
Dinner,Rain,Short,94,Stay
Lunch,Cloudy,Short,85,Stay
Dinner,Cloudy,Long,68,Left
Lunch,Cloudy,None,81,Stay
Dinner,Rain,Short,99,Stay
Lunch,Cloudy,Long,95,Stay
Lunch,Sunny,Long,68,Left
Lunch,Cloudy,None,59,Stay
Dinner,Cloudy,Short,44,Left
Dinner,Cloudy,None,70,Stay
Lunch,Rain,Short,41,Stay
Dinner,Cloudy,None,70,Stay
Dinner,Rain,None,48,Stay
Dinner,Rain,None,50,Stay
Lunch,Sunny,None,54,Stay
Lunch,Rain,None,86,Stay
Lunch,Cloudy,None,45,Stay
Lunch,Sunny,Long,84,Left
Lunch,Cloudy,Short,51,Left
Dinner,Rain,Long,83,Left
Dinner,Rain,Long,69,Left
Lunch,Cloudy,Short,41,Left
Lunch,Rain,Long,68,Left
Dinner,Sunny,Long,48,Left
Dinner,Sunny,None,88,Stay
Lunch,Sunny,Long,86,Left
Lunch,Cloudy,Long,61,Left
Lunch,Sunny,Short,96,Stay
Dinner,Cloudy,Long,64,Left
Dinner,Rain,None,63,Stay
Lunch,Cloudy,None,86,Stay
Dinner,Cloudy,Long,44,Left
Dinner,Sunny,Long,56,Left
Dinner,Sunny,Short,63,Left
Lunch,Cloudy,Short,97,Stay
Dinner,Cloudy,Long,63,Stay
Dinner,Cloudy,None,88,Stay
Lunch,Rain,None,75,Stay
Lunch,Sunny,None,99,Stay
Lunch,Sunny,None,55,Stay
Lunch,Cloudy,None,89,Left
Dinner,Rain,Long,92,Left
Dinner,Cloudy,Short,64,Left
Lunch,Sunny,Long,54,Left
Dinner,Sunny,None,75,Stay
Lunch,Rain,None,83,Stay
Lunch,Cloudy,Long,45,Left
Dinner,Cloudy,Long,41,Left
Lunch,Cloudy,Long,40,Left
Lunch,Cloudy,Long,87,Left
Dinner,Cloudy,Long,84,Left
Lunch,Rain,None,64,Stay
Dinner,Cloudy,None,50,Stay
Lunch,Rain,Long,94,Left
Dinner,Cloudy,None,78,Stay
Lunch,Sunny,None,79,Stay
Lunch,Rain,None,73,Stay
Lunch,Sunny,Short,77,Left
Lunch,Cloudy,Long,61,Left
Dinner,Cloudy,Long,83,Left
Lunch,Sunny,Short,51,Left
Lunch,Sunny,None,63,Stay
Dinner,Sunny,None,67,Stay
Lunch,Cloudy,None,84,Stay
Lunch,Sunny,None,78,Stay
Dinner,Rain,Long,56,Left
Lunch,Sunny,Long,96,Stay
Dinner,Sunny,None,91,Stay
Dinner,Rain,None,43,Stay
Lunch,Sunny,Short,70,Left
Dinner,Cloudy,Long,53,Left
Dinner,Sunny,None,61,Stay
Dinner,Rain,None,83,Stay
Lunch,Rain,Long,53,Left
Dinner,Rain,None,58,Stay
Lunch,Cloudy,Short,43,Left
Dinner,Sunny,Long,83,Left
Lunch,Rain,Long,44,Stay
Dinner,Rain,Long,90,Left
Dinner,Rain,Long,81,Left
Lunch,Rain,Long,81,Left
Dinner,Rain,Long,73,Left
Lunch,Cloudy,None,99,Stay
Lunch,Sunny,Short,57,Left
Lunch,Sunny,Short,72,Left
Lunch,Rain,None,94,Stay
Lunch,Cloudy,Short,94,Stay
Dinner,Rain,None,43,Stay
Dinner,Cloudy,None,81,Stay
Dinner,Rain,Short,43,Left
Lunch,Rain,Long,53,Left
Dinner,Sunny,Short,83,Left
Lunch,Cloudy,Long,49,Left
Dinner,Cloudy,Long,59,Left
Lunch,Rain,Long,69,Left
Lunch,Cloudy,Short,61,Left
Dinner,Rain,Long,90,Left
Lunch,Rain,None,43,Stay
Dinner,Sunny,None,85,Stay
Lunch,Sunny,None,85,Stay
Lunch,Cloudy,Long,79,Left
Lunch,Cloudy,None,46,Stay
Lunch,Cloudy,Short,99,Stay
Dinner,Sunny,Short,76,Left
Lunch,Rain,Long,79,Left
Lunch,Sunny,Long,86,Left
Lunch,Sunny,Long,96,Stay
Dinner,Sunny,Long,91,Left
Lunch,Rain,Long,78,Left
Lunch,Cloudy,Long,47,Left
Lunch,Cloudy,Short,61,Left
Lunch,Cloudy,Short,44,Left
Lunch,Sunny,Long,83,Left
Dinner,Rain,Long,93,Left
Lunch,Sunny,None,95,Stay
Dinner,Cloudy,Long,91,Left
Lunch,Cloudy,Long,94,Left
Lunch,Rain,Long,94,Left
Lunch,Sunny,None,42,Stay
Dinner,Sunny,Short,59,Left
Lunch,Cloudy,Short,81,Left
Lunch,Sunny,Long,57,Left
Dinner,Rain,Short,86,Stay
Dinner,Rain,Short,75,Stay
Dinner,Cloudy,Short,57,Left
Lunch,Sunny,None,67,Stay
Dinner,Cloudy,Short,73,Left
Dinner,Sunny,None,41,Stay
Lunch,Rain,Short,96,Stay
Lunch,Rain,None,93,Stay
Dinner,Sunny,Short,77,Left
Dinner,Rain,None,94,Stay
Lunch,Rain,Long,59,Left
Dinner,Rain,Short,85,Stay
Dinner,Rain,None,90,Stay
Dinner,Cloudy,Long,63,Left
Lunch,Sunny,Short,65,Left
Dinner,Sunny,Short,57,Left
Lunch,Cloudy,None,55,Stay
Lunch,Sunny,Long,63,Left
Lunch,Rain,None,58,Stay
Lunch,Sunny,None,92,Stay
Dinner,Cloudy,None,52,Stay
Lunch,Cloudy,Short,94,Stay
Dinner,Rain,Long,57,Left
Dinner,Sunny,Short,49,Left
Dinner,Rain,Long,74,Left
Dinner,Sunny,Short,98,Stay
Lunch,Cloudy,Short,55,Left
Dinner,Rain,None,78,Stay
Dinner,Cloudy,Short,89,Stay
Lunch,Sunny,Long,98,Stay
Dinner,Rain,Short,42,Stay
Dinner,Sunny,Long,65,Left
Lunch,Sunny,None,96,Stay
Lunch,Sunny,None,82,Stay
Lunch,Sunny,Short,43,Left
Dinner,Rain,Long,66,Left
Dinner,Rain,Short,68,Stay
Lunch,Sunny,None,85,Stay
Dinner,Rain,Long,76,Left
Lunch,Sunny,Long,41,Left
Lunch,Cloudy,None,43,Stay
Dinner,Sunny,Short,73,Left
Lunch,Rain,Short,93,Stay
Lunch,Sunny,Short,73,Left
Dinner,Rain,Long,67,Left
Lunch,Cloudy,Long,45,Left
Lunch,Rain,None,46,Stay
Lunch,Sunny,Long,68,Left
Lunch,Sunny,Short,94,Stay
Lunch,Cloudy,Short,47,Left
Dinner,Cloudy,None,66,Stay
Lunch,Cloudy,Short,85,Stay
Dinner,Cloudy,Short,97,Stay
Lunch,Cloudy,Short,91,Stay
Lunch,Sunny,Long,70,Left
Dinner,Rain,None,62,Stay
Lunch,Rain,Long,41,Stay
Lunch,Cloudy,None,58,Stay
Lunch,Cloudy,Short,96,Stay
Dinner,Rain,Long,69,Left
Lunch,Cloudy,None,51,Stay
Dinner,Sunny,Long,69,Left
Dinner,Sunny,Short,83,Left
Dinner,Rain,Long,72,Left
Lunch,Cloudy,None,49,Stay
Dinner,Cloudy,Short,84,Left
Lunch,Rain,Long,59,Left
Dinner,Sunny,Short,41,Left
Lunch,Rain,Short,67,Stay
Dinner,Cloudy,Long,53,Left
Lunch,Sunny,Long,80,Left
Lunch,Cloudy,None,91,Stay
Lunch,Sunny,None,78,Stay
Dinner,Rain,Short,43,Stay
Lunch,Rain,Short,56,Stay
Dinner,Rain,Long,99,Left
Dinner,Rain,Short,76,Stay
Lunch,Cloudy,Long,54,Left
Dinner,Sunny,Short,93,Stay
Lunch,Rain,None,70,Stay
Lunch,Sunny,Short,77,Left
Lunch,Sunny,Long,68,Left
Lunch,Sunny,None,91,Stay
Dinner,Cloudy,None,57,Stay
Dinner,Cloudy,Short,44,Left
Dinner,Sunny,None,84,Stay
Lunch,Sunny,Short,98,Stay
Lunch,Rain,Long,59,Left
Lunch,Sunny,Short,69,Left
Dinner,Sunny,Short,60,Left
Dinner,Cloudy,Long,73,Left
Dinner,Cloudy,None,83,Stay
Dinner,Rain,Short,77,Stay
Lunch,Cloudy,Long,73,Left
Lunch,Cloudy,Short,49,Left
Dinner,Sunny,None,81,Stay
Lunch,Rain,Short,70,Stay
Lunch,Sunny,Short,73,Left
Lunch,Rain,None,55,Stay
Lunch,Cloudy,Long,86,Left
Dinner,Cloudy,Long,87,Left
Lunch,Cloudy,Short,57,Left
Dinner,Sunny,Long,55,Left
Dinner,Cloudy,Long,77,Left
Lunch,Rain,None,50,Stay
Lunch,Sunny,None,58,Stay
Dinner,Sunny,Short,89,Left
Dinner,Cloudy,Short,83,Left
Lunch,Cloudy,Long,92,Stay
Lunch,Sunny,Long,91,Left
Dinner,Cloudy,Short,82,Left
Dinner,Sunny,None,94,Stay
Lunch,Sunny,None,93,Stay
Dinner,Rain,Short,91,Stay
Lunch,Rain,Long,61,Left
Lunch,Sunny,None,74,Stay
Lunch,Rain,None,53,Stay
Lunch,Cloudy,None,70,Stay
